Alpine function con p=0.05 Stacionary GA
Torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
19,21.99,0.59,4,10
20,18.37,0.55,2,10
1,18.48,0.51,8,30
2,18.00,0.50,7,30
3,18.69,0.59,8,30
4,19.99,0.29,8,30
5,22.32,0.50,6,30
6,20.19,0.49,7,30
7,22.12,0.52,8,30
8,23.08,0.42,4,30
9,19.98,0.58,1,30
10,18.44,0.43,5,30
11,28.11,0.37,1,30
12,23.08,0.40,8,30
13,20.18,0.40,6,30
14,24.02,0.57,6,30
15,32.47,0.56,7,30
16,24.97,0.46,8,30
17,22.35,0.46,3,30
18,18.89,0.45,3,30
19,19.39,0.35,4,30
20,19.65,0.56,6,30
Schwefel function p=0.5 Stacionary GA
Torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,19.27,0.00,8,10
2,16.75,0.00,0,10
3,16.26,0.00,5,10
4,15.80,0.00,4,10
5,20.22,0.00,7,10
6,16.51,0.00,8,10
7,18.89,0.00,7,10
8,20.64,0.00,6,10
9,24.57,0.00,8,10
10,29.01,0.00,7,10
11,26.62,0.00,0,10
12,23.05,0.00,5,10
13,26.85,0.00,1,10
14,26.22,0.00,5,10
15,18.09,0.00,8,10
16,17.68,0.00,7,10
17,17.66,0.00,6,10
18,16.56,0.00,3,10
19,16.75,0.00,8,10
20,18.43,0.00,8,10
1,18.81,0.00,5,30
2,17.86,0.00,8,30
3,19.26,0.00,4,30
4,18.53,0.00,8,30
5,17.01,0.00,8,30
6,18.15,0.00,8,30
7,16.23,0.00,5,30
8,16.05,0.00,6,30
9,20.78,0.00,3,30
10,18.48,0.00,6,30
11,20.26,0.00,8,30
12,17.56,0.00,5,30
13,15.88,0.00,0,30
14,17.30,0.00,3,30
15,15.73,0.00,8,30
16,17.30,0.00,8,30
17,16.14,0.00,7,30
18,16.01,0.00,6,30
19,17.17,0.00,5,30
20,15.51,0.00,7,30
Streched function p=0.5 Stacionary GA
Torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,18.75,1.22,8,10
2,20.02,1.17,4,10
3,20.56,0.73,2,10
4,18.89,0.94,2,10
5,20.18,1.05,8,10
6,18.64,1.10,8,10
7,19.78,1.09,2,10
8,20.57,1.25,3,10
9,20.82,1.05,8,10
10,18.67,1.19,2,10
11,21.32,1.07,8,10
12,21.58,1.12,4,10
13,20.03,1.39,8,10
14,20.32,0.93,8,10
15,18.49,1.16,2,10
16,19.01,0.99,8,10
17,22.74,1.28,8,10
18,20.15,1.13,8,10
19,21.73,0.90,6,10
20,30.74,1.47,7,10
1,20.70,1.36,6,30
2,22.70,1.05,7,30
3,21.17,0.67,5,30
4,21.23,1.17,8,30
5,18.88,1.52,7,30
6,19.55,1.27,4,30
7,18.64,0.79,8,30
8,19.69,1.08,0,30
9,20.97,1.14,4,30
10,18.46,1.49,2,30
11,19.14,1.18,3,30
12,19.65,0.76,6,30
13,20.64,1.06,8,30
14,21.99,1.38,5,30
15,20.27,1.42,4,30
16,23.95,1.07,5,30
17,19.51,0.88,6,30
18,19.36,0.97,3,30
19,19.82,0.90,8,30
20,19.13,1.27,8,30
Sum Squares function p=0.35 Stacionary GA
Torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,20.86,0.01,6,10
2,18.75,0.00,6,10
3,17.61,0.01,5,10
4,18.40,0.00,0,10
5,17.44,0.01,3,10
6,16.58,0.01,7,10
7,18.43,0.00,8,10
8,17.27,0.01,7,10
9,19.81,0.01,8,10
10,18.49,0.01,8,10
11,25.77,0.01,8,10
12,17.87,0.01,8,10
13,17.81,0.01,8,10
14,18.59,0.02,7,10
15,18.28,0.02,3,10
16,17.11,0.01,7,10
17,19.42,0.01,4,10
18,25.43,0.01,5,10
19,30.27,0.01,7,10
20,18.78,0.01,6,10
1,17.99,0.01,8,30
2,17.85,0.01,6,30
3,23.79,0.00,7,30
4,20.78,0.01,7,30
5,17.49,0.01,5,30
6,16.64,0.00,5,30
7,18.48,0.00,8,30
8,19.07,0.01,8,30
9,26.58,0.00,8,30
10,24.41,0.01,7,30
11,30.72,0.01,6,30
12,24.58,0.01,8,30
13,23.83,0.01,4,30
14,20.85,0.01,7,30
15,17.26,0.01,8,30
16,17.35,0.00,8,30
17,17.32,0.01,7,30
18,19.70,0.01,7,30
19,18.86,0.01,2,30
20,17.12,0.01,1,30
Alpine function con p=0.05 Stacionary GA
Ruleta
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,4.98,3.21,9,10
2,5.13,2.73,7,10
3,5.47,3.96,6,10
4,6.56,2.81,8,10
5,6.55,3.62,9,10
6,5.93,2.61,7,10
7,4.62,1.31,9,10
8,4.51,1.03,6,10
9,6.06,2.73,8,10
10,4.92,2.42,9,10
11,4.92,2.37,9,10
12,5.20,2.06,3,10
13,5.31,3.13,8,10
14,4.96,2.09,8,10
15,7.08,5.46,5,10
16,5.48,0.71,7,10
17,5.47,2.88,7,10
18,6.11,1.69,9,10
19,5.24,2.12,6,10
20,4.96,4.19,9,10
1,5.58,2.90,9,30
2,7.31,6.31,9,30
3,4.79,4.02,3,30
4,8.14,7.66,9,30
5,5.18,3.64,9,30
6,4.78,3.79,4,30
7,7.05,3.12,8,30
8,6.20,2.47,9,30
9,4.59,2.84,5,30
10,5.39,4.62,5,30
11,4.73,1.28,8,30
12,4.93,4.51,5,30
13,6.92,3.18,9,30
14,4.68,1.59,5,30
15,4.75,3.13,6,30
16,5.14,1.18,9,30
17,5.48,4.33,9,30
18,5.19,4.01,8,30
19,6.36,4.69,3,30
20,4.92,2.45,8,30
Dixon function con p=0.5 Stacionary GA
Ruleta
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,5.96,22.81,9,10
2,9.09,23.81,9,10
3,7.67,20.85,8,10
4,6.55,21.73,7,10
5,5.95,31.03,9,10
6,7.41,20.04,8,10
7,6.96,20.82,5,10
8,7.55,23.66,9,10
9,6.39,15.85,4,10
10,5.96,13.94,8,10
11,6.52,20.98,4,10
12,9.35,23.60,7,10
13,6.81,28.16,5,10
14,7.55,14.11,9,10
15,10.24,25.57,9,10
16,10.24,28.12,7,10
17,6.94,22.62,2,10
18,10.41,23.71,8,10
19,10.74,13.11,6,10
20,9.02,12.98,9,10
1,8.09,22.85,3,30
2,5.80,22.02,9,30
3,8.02,16.15,8,30
4,7.32,17.59,9,30
5,7.87,19.12,8,30
6,7.45,17.40,7,30
7,5.73,15.15,8,30
8,11.81,20.49,9,30
9,6.31,14.19,6,30
10,7.95,30.08,5,30
11,5.29,28.70,4,30
12,8.66,9.17,2,30
13,5.23,20.71,6,30
14,5.65,35.49,9,30
15,6.76,21.56,6,30
16,6.08,11.72,9,30
17,8.11,22.50,9,30
18,11.71,25.67,9,30
19,8.65,14.59,8,30
20,7.87,13.49,4,30
Quintic function p=0.25 Stacionary GA
Ruleta
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,8.56,0.55,9,10
2,11.29,0.53,7,10
3,8.36,0.54,5,10
4,8.81,0.54,7,10
5,7.89,0.61,8,10
6,11.52,0.67,7,10
7,7.95,0.85,7,10
8,13.02,0.66,7,10
9,11.31,0.73,9,10
10,7.58,0.64,3,10
11,9.24,0.59,6,10
12,7.11,0.63,7,10
13,9.18,0.49,7,10
14,7.49,0.59,9,10
15,10.40,0.50,9,10
16,7.26,0.72,8,10
17,8.01,0.57,9,10
18,7.85,0.60,8,10
19,8.58,0.70,4,10
20,8.02,0.61,8,10
1,7.93,0.50,8,30
2,7.39,0.74,8,30
3,8.16,0.46,9,30
4,7.47,0.69,5,30
5,7.82,0.29,9,30
6,9.54,0.47,8,30
7,9.12,0.52,3,30
8,10.45,0.53,7,30
9,12.26,0.58,5,30
10,10.60,0.63,7,30
11,7.94,0.60,8,30
12,10.27,0.61,8,30
13,8.21,0.48,7,30
14,8.28,0.46,8,30
15,8.59,0.43,8,30
16,9.30,0.47,4,30
17,8.07,0.58,7,30
18,10.46,0.54,9,30
19,10.22,0.69,8,30
20,10.10,0.48,9,30
Schwefel function p=0.5 Stacionary GA
Ruleta
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,5.21,0.00,8,10
2,5.01,0.00,7,10
3,6.40,0.00,9,10
4,5.39,0.00,7,10
5,5.03,0.00,7,10
6,4.72,0.00,2,10
7,4.70,0.00,6,10
8,7.96,0.00,7,10
9,8.55,0.00,8,10
10,5.49,0.00,7,10
11,4.54,0.00,9,10
12,4.85,0.00,5,10
13,6.62,0.00,5,10
14,5.00,0.00,8,10
15,6.00,0.00,9,10
16,6.49,0.00,5,10
17,6.23,0.00,9,10
18,4.78,0.00,5,10
19,9.31,0.00,9,10
20,6.10,0.00,9,10
1,5.26,0.00,9,30
2,5.50,0.00,8,30
3,5.02,0.00,8,30
4,5.18,0.00,7,30
5,6.08,0.00,1,30
6,4.95,0.00,6,30
7,6.55,0.00,1,30
8,6.68,0.00,9,30
9,5.15,0.00,8,30
10,7.42,0.00,9,30
11,4.84,0.00,5,30
12,5.94,0.00,9,30
13,6.57,0.00,9,30
14,4.43,0.00,7,30
15,5.30,0.00,6,30
16,6.40,0.00,7,30
17,4.88,0.00,5,30
18,6.35,0.00,5,30
19,5.80,0.00,8,30
20,8.68,0.00,5,30
Streched function p=0.5 Stacionary GA
Ruleta
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,8.93,1.35,7,10
2,11.12,1.00,9,10
3,10.87,0.88,8,10
4,8.74,0.91,9,10
5,9.59,1.08,9,10
6,8.47,1.18,9,10
7,6.83,1.10,7,10
8,8.56,1.17,1,10
9,7.36,1.22,7,10
10,8.77,1.10,3,10
11,8.98,1.34,8,10
12,9.22,1.37,9,10
13,8.78,1.02,9,10
14,9.05,1.34,8,10
15,7.82,1.18,8,10
16,8.14,1.05,6,10
17,7.75,1.13,8,10
18,9.80,1.01,8,10
19,7.52,1.27,9,10
20,8.21,1.18,8,10
1,7.89,1.12,6,30
2,9.26,0.69,3,30
3,7.65,0.81,9,30
4,8.50,0.81,7,30
5,7.37,1.50,7,30
6,9.91,0.98,8,30
7,7.65,1.02,7,30
8,9.63,0.85,9,30
9,7.81,1.06,8,30
10,13.42,1.22,7,30
11,12.93,1.11,8,30
12,11.24,1.08,6,30
13,7.76,1.02,3,30
14,11.33,0.70,8,30
15,7.80,1.21,5,30
16,9.39,1.04,8,30
17,9.58,1.26,9,30
18,10.88,0.87,5,30
19,8.25,1.06,7,30
20,8.06,1.10,9,30
Sum Squares function p=0.35 Stacionary GA
Ruleta
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,5.19,0.01,5,10
2,6.73,0.01,6,10
3,5.07,0.01,5,10
4,5.56,0.01,8,10
5,6.53,0.01,8,10
6,5.47,0.01,7,10
7,7.33,0.01,9,10
8,5.82,0.01,5,10
9,5.45,0.00,8,10
10,6.84,0.01,7,10
11,5.61,0.01,9,10
12,5.47,0.01,8,10
13,7.48,0.01,6,10
14,11.79,0.01,9,10
15,15.24,0.02,6,10
16,10.67,0.01,8,10
17,11.94,0.01,6,10
18,8.85,0.01,7,10
19,9.97,0.01,5,10
20,9.72,0.01,8,10
1,9.84,0.01,5,30
2,11.66,0.01,5,30
3,9.79,0.01,5,30
4,14.89,0.01,3,30
5,10.84,0.01,9,30
6,9.11,0.01,9,30
7,9.55,0.01,8,30
8,8.32,0.01,5,30
9,8.18,0.01,5,30
10,5.79,0.01,5,30
11,6.77,0.01,6,30
12,8.91,0.01,8,30
13,10.47,0.01,9,30
14,10.29,0.01,6,30
15,11.20,0.01,8,30
16,8.95,0.01,9,30
17,8.61,0.01,9,30
18,17.78,0.01,6,30
19,14.56,0.01,9,30
20,9.64,0.01,7,30
Alpine function con p=0.05 Stacionary GA
Proporcional
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,9.81,3.18,1,10
2,9.92,2.29,6,10
3,10.78,3.12,5,10
4,9.96,3.90,6,10
5,8.74,2.12,9,10
6,9.69,3.87,6,10
7,10.12,4.31,7,10
8,9.53,3.00,8,10
9,9.20,4.02,3,10
10,9.58,6.25,5,10
11,12.64,5.21,7,10
12,9.24,5.01,6,10
13,9.15,1.76,7,10
14,9.99,5.14,8,10
15,9.06,3.17,7,10
16,8.32,1.06,8,10
17,6.66,5.56,2,10
18,8.56,3.60,4,10
19,12.55,3.43,5,10
20,8.73,3.28,9,10
1,8.02,4.21,9,30
2,6.12,2.38,9,30
3,6.80,3.72,5,30
4,6.41,1.50,9,30
5,5.27,6.17,9,30
6,8.05,4.70,9,30
7,5.27,5.25,8,30
8,5.87,4.16,8,30
9,9.42,2.77,1,30
10,7.48,1.51,7,30
11,12.83,2.43,6,30
12,6.96,2.61,9,30
13,5.89,2.41,6,30
14,5.80,2.66,9,30
15,6.06,1.69,3,30
16,5.71,2.97,4,30
17,5.53,5.29,9,30
18,6.09,3.81,7,30
19,5.55,4.98,3,30
20,5.72,2.42,5,30
Dixon function con p=0.5 Stacionary GA
Proporcional
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,9.04,11.53,6,10
2,7.67,18.83,6,10
3,9.56,20.46,8,10
4,6.52,15.51,6,10
5,9.67,13.99,5,10
6,6.44,13.20,4,10
7,7.06,15.41,9,10
8,6.14,21.66,9,10
9,6.71,26.43,7,10
10,6.14,9.95,3,10
11,7.99,23.02,7,10
12,7.18,38.09,7,10
13,17.36,9.94,9,10
14,6.98,21.69,6,10
15,7.78,20.64,9,10
16,6.34,17.55,4,10
17,6.85,9.41,8,10
18,6.85,25.28,9,10
19,11.83,25.89,9,10
20,11.09,17.46,8,10
1,16.19,14.65,9,30
2,14.65,29.22,6,30
3,11.33,16.56,6,30
4,12.85,27.83,9,30
5,12.44,9.12,8,30
6,7.46,16.55,3,30
7,7.15,20.67,8,30
8,11.58,32.79,8,30
9,12.46,21.78,9,30
10,9.18,14.85,8,30
11,9.55,21.68,9,30
12,7.31,20.65,9,30
13,7.52,16.70,8,30
14,6.06,18.35,9,30
15,6.57,8.48,4,30
16,6.15,20.42,9,30
17,6.31,16.55,9,30
18,8.47,33.58,8,30
19,7.83,19.32,6,30
20,9.57,25.86,9,30
Quintic function p=0.25 Stacionary GA
Proporcional
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,9.23,0.57,9,10
2,9.20,0.51,6,10
3,8.38,0.79,8,10
4,8.36,0.52,3,10
5,10.13,0.54,8,10
6,9.35,0.51,7,10
7,10.48,0.58,9,10
8,9.56,0.44,9,10
9,10.47,0.60,9,10
10,9.36,0.45,7,10
11,8.47,0.41,9,10
12,8.27,0.59,9,10
13,10.22,0.60,9,10
14,10.59,0.71,6,10
15,8.60,0.49,8,10
16,13.53,0.65,9,10
17,12.03,0.58,7,10
18,7.82,0.72,1,10
19,8.81,0.59,9,10
20,8.26,0.47,7,10
1,8.89,0.66,4,30
2,8.38,0.33,9,30
3,9.91,0.76,9,30
4,10.69,0.69,7,30
5,8.58,0.52,8,30
6,9.59,0.64,7,30
7,8.63,0.57,4,30
8,8.66,0.53,6,30
9,7.96,0.66,3,30
10,10.08,0.61,7,30
11,8.52,0.55,9,30
12,8.33,0.58,8,30
13,7.83,0.48,9,30
14,8.30,0.55,7,30
15,7.77,0.61,9,30
16,9.59,0.41,7,30
17,8.01,0.43,7,30
18,8.31,0.50,7,30
19,8.27,0.67,8,30
20,9.04,0.45,7,30
Schwefel function p=0.5 Stacionary GA
Proporcional
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,5.67,0.00,4,10
2,5.70,0.00,9,10
3,6.99,0.00,2,10
4,5.14,0.00,9,10
5,5.46,0.00,6,10
6,5.30,0.00,5,10
7,5.43,0.00,4,10
8,5.87,0.00,9,10
9,7.15,0.00,2,10
10,9.46,0.00,5,10
11,12.91,0.00,9,10
12,5.55,0.00,3,10
13,5.32,0.00,9,10
14,5.51,0.00,5,10
15,7.27,0.00,7,10
16,6.46,0.00,0,10
17,5.73,0.00,7,10
18,5.39,0.00,9,10
19,5.54,0.00,3,10
20,5.02,0.00,8,10
1,7.09,0.00,9,30
2,5.53,0.00,8,30
3,6.13,0.00,2,30
4,9.84,0.00,9,30
5,7.91,0.00,7,30
6,5.49,0.00,5,30
7,6.95,0.00,8,30
8,5.23,0.00,5,30
9,5.98,0.00,7,30
10,7.43,0.00,8,30
11,8.80,0.00,8,30
12,5.87,0.00,8,30
13,9.93,0.00,3,30
14,7.07,0.00,6,30
15,5.96,0.00,6,30
16,5.99,0.00,6,30
17,5.34,0.00,7,30
18,6.45,0.00,6,30
19,5.53,0.00,9,30
20,5.44,0.00,7,30
Streched function p=0.5 Stacionary GA
Proporcional
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,8.12,1.00,9,10
2,8.37,1.11,6,10
3,10.74,1.52,8,10
4,9.48,1.34,6,10
5,11.15,1.00,7,10
6,9.13,1.15,3,10
7,8.97,1.18,3,10
8,8.64,1.28,9,10
9,8.23,1.53,3,10
10,9.67,0.94,6,10
11,9.97,1.29,3,10
12,11.18,0.99,9,10
13,8.52,1.36,9,10
14,14.85,1.17,9,10
15,13.64,0.92,5,10
16,13.69,1.25,7,10
17,13.50,1.00,6,10
18,14.29,1.26,6,10
19,11.82,1.19,9,10
20,9.17,0.87,7,10
1,8.37,1.02,7,30
2,7.66,0.96,2,30
3,8.16,1.10,5,30
4,8.57,0.96,4,30
5,11.22,1.07,9,30
6,8.11,1.40,3,30
7,7.75,1.27,9,30
8,8.29,1.42,4,30
9,8.10,1.11,9,30
10,8.20,1.37,2,30
11,8.75,1.32,7,30
12,10.36,1.63,4,30
13,8.99,1.11,9,30
14,11.92,1.09,8,30
15,10.92,1.30,9,30
16,8.07,0.71,4,30
17,8.78,0.87,7,30
18,9.51,1.20,8,30
19,7.80,1.06,9,30
20,10.78,0.83,9,30
Sum Squares function p=0.35 Stacionary GA
Proporcional
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,7.02,0.01,7,10
2,6.68,0.01,7,10
3,7.92,0.01,6,10
4,5.43,0.01,9,10
5,5.83,0.01,9,10
6,6.95,0.01,2,10
7,5.74,0.01,8,10
8,7.24,0.01,8,10
9,5.95,0.02,5,10
10,5.87,0.01,9,10
11,5.65,0.01,7,10
12,8.50,0.01,6,10
13,5.68,0.01,7,10
14,9.09,0.01,4,10
15,6.88,0.02,6,10
16,6.76,0.01,1,10
17,7.31,0.00,5,10
18,7.68,0.02,8,10
19,8.05,0.02,5,10
20,5.79,0.02,3,10
1,5.97,0.01,5,30
2,7.20,0.01,9,30
3,7.41,0.01,4,30
4,7.65,0.01,7,30
5,6.13,0.00,7,30
6,7.95,0.01,9,30
7,7.45,0.01,7,30
8,6.91,0.02,8,30
9,7.23,0.02,4,30
10,9.94,0.01,4,30
11,8.08,0.01,5,30
12,9.88,0.01,6,30
13,6.79,0.02,8,30
14,7.48,0.01,5,30
15,6.37,0.01,6,30
16,6.20,0.01,5,30
17,5.89,0.00,8,30
18,5.77,0.01,8,30
19,6.11,0.01,6,30
20,5.88,0.01,7,30
Alpine function con p=0.05 Generational GA
Torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,68.68,41,4,8.20,19.22,8,10
2,71.22,6,8,6.50,23.81,2,10
3,65.24,23,8,7.61,20.09,5,10
4,67.23,96,7,6.32,17.85,8,10
5,65.06,35,3,8.74,17.10,3,10
6,61.26,92,6,7.54,17.28,9,10
7,70.64,96,6,10.47,19.22,3,10
8,70.24,25,0,6.78,14.07,9,10
9,72.00,56,8,7.63,21.60,5,10
10,64.96,28,2,8.76,14.44,9,10
11,68.70,0,6,8.67,16.80,7,10
12,64.06,66,2,9.01,18.59,2,10
13,72.10,35,8,9.74,20.17,2,10
14,84.65,2,8,10.50,15.26,6,10
15,67.66,76,6,9.91,15.46,7,10
16,64.71,21,8,8.15,14.44,9,10
17,76.73,71,5,9.31,20.84,5,10
18,69.00,8,4,9.36,21.49,7,10
19,67.14,79,7,8.48,16.69,5,10
20,73.11,8,2,9.39,14.23,9,10
1,79.86,15,7,7.60,19.40,8,30
2,59.81,22,6,8.33,24.56,6,30
3,63.19,31,7,8.60,15.40,1,30
4,70.10,5,7,7.87,21.66,1,30
5,72.23,15,8,6.93,18.42,2,30
6,71.41,26,4,6.55,22.72,4,30
7,70.87,74,2,8.42,12.90,9,30
8,83.60,69,6,9.31,12.49,7,30
9,85.87,10,8,8.31,22.11,7,30
10,71.91,86,5,9.17,19.69,6,30
11,75.42,86,7,8.80,23.20,6,30
12,75.61,94,8,8.61,12.90,5,30
13,72.54,11,4,7.11,17.98,9,30
14,77.03,86,2,6.76,16.00,4,30
15,81.20,65,5,9.23,25.78,8,30
16,70.86,39,8,8.26,20.15,5,30
17,76.80,63,1,10.20,13.45,6,30
18,76.08,32,8,9.43,25.19,6,30
19,66.89,30,6,10.32,19.35,3,30
20,69.61,60,7,6.06,11.81,6,30
Dixon function con p=0.5 Generational GA
Torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,92.11,52,7,50.47,280.86,7,10
2,97.24,25,7,31.54,882.02,5,10
3,108.28,97,6,27.55,141.66,3,10
4,99.25,11,1,42.52,729.94,0,10
5,112.65,88,3,12.71,549.30,3,10
6,88.25,99,7,53.85,53.85,7,10
7,100.66,91,8,21.34,769.01,8,10
8,78.48,52,8,38.77,431.90,8,10
9,85.35,86,2,46.96,271.23,5,10
10,76.57,33,8,26.21,823.33,5,10
11,92.78,57,0,40.82,251.69,7,10
12,83.85,58,2,47.71,340.04,3,10
13,80.68,93,3,39.16,236.53,8,10
14,72.10,62,7,43.84,90.34,0,10
15,71.73,52,0,51.33,348.26,7,10
16,72.90,58,3,39.75,277.56,6,10
17,95.30,56,1,53.00,392.71,6,10
18,77.58,45,3,20.74,43.16,7,10
19,74.88,51,4,52.97,670.53,8,10
20,78.11,88,8,16.08,408.41,6,10
1,83.23,95,0,35.14,194.21,8,30
2,74.21,79,0,20.50,235.98,7,30
3,78.64,59,3,46.69,1010.29,4,30
4,71.48,53,0,37.50,390.96,7,30
5,94.71,76,5,54.54,615.08,5,30
6,73.07,16,1,32.02,176.81,1,30
7,77.31,38,5,41.56,1071.61,3,30
8,77.75,30,3,44.16,354.37,9,30
9,92.76,59,1,44.10,293.47,4,30
10,87.38,20,6,62.13,471.25,0,30
11,71.33,77,4,26.81,152.24,6,30
12,74.67,52,1,21.03,134.19,6,30
13,67.60,83,7,47.48,619.59,8,30
14,66.67,42,3,26.89,307.23,3,30
15,77.25,21,3,45.17,156.55,5,30
16,76.68,31,7,27.08,331.04,7,30
17,97.20,1,7,22.82,644.82,5,30
18,84.38,51,8,47.48,502.94,8,30
19,84.05,64,2,28.38,986.60,1,30
20,78.14,8,2,46.33,795.43,8,30
Quintic function p=0.25 Generational GA
Torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,86.63,74,7,52.25,42352.00,1,10
2,95.79,14,5,480.96,25684.08,8,10
3,104.82,0,5,197.91,39434.48,4,10
4,92.62,97,6,37.69,25837.78,2,10
5,88.72,91,4,290.92,38133.70,2,10
6,99.39,2,4,192.65,9300.93,4,10
7,88.89,17,7,1.31,39142.98,6,10
8,112.55,20,8,28.25,41980.37,6,10
9,92.27,36,5,48.70,88442.13,6,10
10,90.84,8,3,288.30,31604.30,7,10
11,85.59,32,8,77.46,68174.02,3,10
12,85.03,53,2,31.14,76279.68,0,10
13,98.50,93,8,23.11,14795.70,7,10
14,92.03,98,2,14.11,31016.74,4,10
15,92.83,99,2,16.37,16.37,2,10
16,97.89,88,7,203.18,41987.57,0,10
17,89.22,10,5,1.13,78804.34,0,10
18,94.53,40,5,22.06,23828.55,6,10
19,100.38,30,4,125.84,15472.21,5,10
20,80.65,22,0,92.40,30569.85,3,10
1,84.21,40,8,71.87,763.63,2,30
2,85.06,60,5,68.38,31577.07,1,30
3,89.43,96,7,93.68,215.08,8,30
4,87.58,79,5,24.41,24765.36,7,30
5,91.76,97,0,35.26,36126.03,9,30
6,92.69,1,5,32.10,9491.15,0,30
7,84.42,13,8,34.77,68521.54,7,30
8,94.61,25,4,157.75,9552.85,5,30
9,96.73,97,7,94.84,101394.88,9,30
10,114.76,40,1,17.06,2746.95,8,30
11,85.65,5,5,21.86,37372.67,4,30
12,83.16,11,7,354.26,55644.40,6,30
13,91.90,23,4,1.26,44009.82,6,30
14,98.24,93,0,57.56,24190.91,3,30
15,97.24,16,7,66.75,1010.37,6,30
16,87.23,86,1,52.53,60189.46,5,30
17,79.98,78,8,29.62,15787.71,0,30
