SA Alpine function con operadores tramposos
Iteracion,Tiempo_ms,Alpha,Solucion,Dimension
13,6.73,0.92,0.45,30
14,6.74,0.99,4.72,30
15,6.67,0.99,1.12,30
16,10.23,0.92,7.24,30
17,7.09,0.93,1.30,30
18,308.34,0.94,2.99,30
19,7.67,0.90,1.28,30
20,6.83,0.98,2.19,30
SA Quintic function con operadores tramposos
Iteracion,Tiempo_ms,Alpha,Solucion,Dimension
1,11.66,0.92,17.79,10
2,11.72,0.98,17.79,10
3,11.97,0.91,17.80,10
4,10.41,0.96,17.79,10
5,6.00,0.99,17.79,10
6,4.55,0.90,17.79,10
7,4.50,0.94,17.78,10
8,4.45,0.98,17.80,10
9,4.52,0.93,17.79,10
10,4.49,0.89,17.79,10
11,505.84,0.89,17.80,10
12,13.17,0.90,17.78,10
13,9.39,0.99,17.79,10
14,12.54,0.90,17.80,10
15,12.24,0.89,17.78,10
16,12.03,0.93,17.79,10
17,11.79,0.91,17.80,10
18,8.25,0.98,17.80,10
19,5.36,0.95,17.80,10
20,4.49,0.95,17.79,10
1,4.75,0.95,17.79,30
2,4.59,0.98,17.79,30
3,380.10,0.98,17.77,30
4,4.76,0.98,17.78,30
5,4.61,0.99,17.80,30
6,4.93,0.92,17.80,30
7,4.72,0.89,17.78,30
8,411.66,0.94,17.79,30
9,15.72,0.98,17.78,30
10,20.68,0.88,17.78,30
11,20.92,0.90,17.78,30
12,18.09,0.93,17.79,30
13,7.17,0.88,17.78,30
14,5.11,0.98,17.80,30
15,411.32,0.97,17.78,30
16,11.95,0.97,17.77,30
17,12.03,0.94,17.78,30
18,12.26,0.91,17.78,30
19,15.26,0.91,17.78,30
20,15.20,0.92,17.76,30
SA Schwefel function con operadores tramposos
Iteracion,Tiempo_ms,Alpha,Solucion,Dimension
1,3.66,0.91,0.55,10
2,3.77,0.96,5.36,10
3,2.13,0.92,0.39,10
4,2.51,0.92,6.56,10
5,1.53,0.88,0.61,10
6,1.77,0.90,0.76,10
7,1.54,0.93,5.10,10
8,1.78,0.91,3.14,10
9,2.45,0.97,6.59,10
10,1.80,0.98,0.33,10
11,402.82,0.93,0.32,10
12,3.36,0.91,0.34,10
13,2.60,0.99,0.57,10
14,2.25,0.88,3.65,10
15,2.02,0.93,3.03,10
16,2.63,0.97,6.13,10
17,1.60,0.96,0.83,10
18,1.49,0.93,4.27,10
19,1.45,0.98,1.99,10
20,1.44,0.89,1.22,10
1,1.61,0.94,1.07,30
2,2.71,0.88,9.19,30
3,1.95,0.96,1.88,30
4,3.77,0.92,5.32,30
5,3.10,0.92,1.08,30
6,5.27,0.90,3.88,30
7,2.22,0.96,0.45,30
8,2.81,0.99,7.08,30
9,1.65,0.94,1.43,30
10,1.49,0.97,1.08,30
11,2.29,0.99,0.59,30
12,1.45,0.89,0.96,30
13,2.56,0.98,6.04,30
14,1.44,0.97,0.93,30
15,1.54,0.98,0.34,30
16,1.46,0.91,0.27,30
17,1.77,0.91,5.17,30
18,1.52,0.96,3.17,30
19,1.52,0.88,1.36,30
20,1.53,0.96,4.91,30
SA Streched function con operadores tramposos
Iteracion,Tiempo_ms,Alpha,Solucion,Dimension
1,4.46,0.90,2.12,10
2,4.43,0.93,0.81,10
3,4.29,0.92,11.09,10
4,4.87,0.98,1.13,10
5,5.59,0.94,1.25,10
6,4.89,0.92,0.18,10
7,4.34,0.96,0.26,10
8,433.41,0.94,0.50,10
9,12.08,0.97,5.52,10
10,11.83,0.96,0.95,10
11,12.00,0.96,0.88,10
12,11.68,0.90,0.66,10
13,12.05,0.98,9.04,10
14,312.48,0.98,4.00,10
15,4.61,0.89,10.72,10
16,4.45,0.98,0.95,10
17,5.50,0.93,1.36,10
18,4.25,0.89,0.82,10
19,4.33,0.95,1.32,10
20,4.44,0.89,3.24,10
1,4.57,0.98,2.50,30
2,4.26,0.96,2.01,30
3,4.73,0.94,1.06,30
4,4.40,0.94,1.44,30
5,4.59,0.98,1.38,30
6,4.20,0.98,1.17,30
7,4.34,0.94,1.28,30
8,4.83,0.96,1.13,30
9,4.23,0.96,2.67,30
10,4.36,0.95,5.93,30
11,4.39,0.91,5.67,30
12,4.77,0.89,2.68,30
13,4.25,0.93,0.97,30
14,4.51,0.99,0.56,30
15,4.26,0.94,1.42,30
16,407.02,0.92,0.56,30
17,5.93,0.94,0.71,30
18,4.71,0.88,6.83,30
19,5.01,0.95,0.59,30
20,4.43,0.95,0.37,30
SA Sum Squares function con operadores tramposos
Iteracion,Tiempo_ms,Alpha,Solucion,Dimension
1,2.09,0.91,0.29,10
2,2.43,0.91,10.46,10
3,2.06,0.92,11.20,10
4,2.56,0.90,1.04,10
5,2.06,0.95,0.81,10
6,2.32,0.92,2.19,10
7,2.22,0.99,11.32,10
8,2.08,0.98,0.40,10
9,2.37,0.89,3.39,10
10,2.35,0.90,2.12,10
11,2.48,0.98,2.22,10
12,2.25,0.88,7.12,10
13,3.31,0.96,0.73,10
14,3.02,0.90,1.83,10
15,2.17,0.98,0.38,10
16,2.19,0.93,3.71,10
17,2.91,0.91,2.64,10
18,3.40,0.97,8.15,10
19,2.36,0.91,0.42,10
20,2.27,0.90,3.14,10
1,3.56,0.95,0.44,30
2,4.24,0.90,4.62,30
3,4.19,0.92,6.24,30
4,4.43,0.89,0.95,30
5,3.81,0.99,0.57,30
6,2.33,0.94,2.99,30
7,2.48,0.89,3.52,30
8,369.70,0.90,1.04,30
9,4.02,0.93,4.53,30
10,2.70,0.93,0.45,30
11,2.88,0.93,0.31,30
12,2.66,0.96,0.40,30
13,2.53,0.95,1.58,30
14,2.81,0.89,0.46,30
15,2.88,0.89,0.47,30
16,2.63,0.89,0.71,30
17,3.53,0.97,5.43,30
18,2.42,0.99,2.51,30
19,204.63,0.94,6.25,30
20,5.64,0.94,2.65,30
