SA Alpine function con operadores normales
Iteracion,Tiempo_ms,Alpha,Solucion,Dimension
1,31.28,0.95,17.53,30
2,338.63,0.98,12.93,30
3,34.02,0.94,10.13,30
4,33.30,0.96,14.03,30
5,425.10,0.98,16.26,30
6,16.25,0.94,13.61,30
7,15.99,0.93,15.28,30
8,24.73,0.92,13.06,30
9,21.66,0.95,18.26,30
10,431.20,0.92,17.24,30
11,37.08,0.88,12.32,30
12,30.58,0.88,11.49,30
13,417.20,0.89,12.71,30
14,14.03,0.93,10.10,30
15,13.21,0.95,13.74,30
16,12.66,0.93,15.38,30
17,13.46,0.90,9.52,30
18,12.65,0.95,10.35,30
19,12.58,0.89,15.30,30
20,416.89,0.91,11.07,30
SA Schwefel function con operadores normales
Iteracion,Tiempo_ms,Alpha,Solucion,Dimension
1,23.20,0.96,3.40,10
2,24.90,0.91,7.84,10
3,21.38,0.96,7.19,10
4,13.79,0.88,8.46,10
5,8.33,0.96,8.17,10
6,311.91,0.97,5.81,10
7,9.32,0.95,4.56,10
8,8.92,0.92,5.87,10
9,7.69,0.94,8.38,10
10,8.21,0.92,8.76,10
11,8.47,0.90,7.95,10
12,7.91,0.96,5.24,10
13,8.59,0.94,7.69,10
14,7.82,0.98,7.90,10
15,9.16,0.94,6.27,10
16,8.51,0.93,11.94,10
17,410.00,0.93,9.83,10
18,10.72,0.89,7.17,10
19,9.53,0.95,8.45,10
20,9.31,0.95,9.61,10
1,8.53,0.93,7.62,30
2,9.28,0.97,9.31,30
3,9.27,0.99,12.33,30
4,11.29,0.89,6.49,30
5,9.30,0.92,10.32,30
6,10.67,0.98,4.56,30
7,9.61,0.90,7.11,30
8,309.81,0.93,3.18,30
9,10.78,0.93,7.30,30
10,8.62,0.97,7.01,30
11,8.18,0.99,8.20,30
12,8.59,0.99,7.99,30
13,8.31,0.93,8.53,30
14,7.71,0.91,7.48,30
15,8.35,0.99,10.03,30
16,7.94,0.90,8.13,30
17,8.39,0.89,11.67,30
18,7.51,0.93,8.72,30
19,115.57,0.94,9.05,30
20,12.28,0.89,5.94,30
SA Streched function con operadores normales
Iteracion,Tiempo_ms,Alpha,Solucion,Dimension
1,4.65,0.98,41.64,10
2,5.36,0.92,29.29,10
3,8.89,0.89,31.54,10
4,5.76,0.88,30.89,10
5,6.15,0.95,34.70,10
6,5.76,0.90,39.31,10
7,6.54,0.93,18.36,10
8,7.80,0.99,33.06,10
9,4.57,0.92,30.22,10
10,5.15,0.92,41.99,10
11,6.15,0.89,22.59,10
12,4.40,0.89,38.32,10
13,4.49,0.94,31.76,10
14,270.98,0.88,32.29,10
15,11.53,0.98,26.25,10
16,11.66,0.99,43.78,10
17,156.75,0.91,13.38,10
18,13.09,0.94,34.63,10
19,7.67,0.93,38.76,10
20,6.03,0.99,37.40,10
1,9.05,0.93,21.27,30
2,5.26,0.90,20.73,30
3,4.60,0.89,37.28,30
4,4.78,0.96,33.07,30
5,108.65,0.97,23.03,30
6,11.24,0.93,23.47,30
7,11.18,0.93,23.41,30
8,11.10,0.92,31.25,30
9,11.04,0.92,45.39,30
10,11.26,0.98,35.30,30
11,16.69,0.94,21.56,30
12,10.98,0.91,20.07,30
13,7.15,0.93,31.15,30
14,107.37,0.90,30.58,30
15,5.89,0.97,19.88,30
16,5.69,0.95,25.03,30
17,5.54,0.97,41.33,30
18,4.46,0.95,28.07,30
19,4.96,0.90,29.17,30
20,4.92,0.93,34.37,30
SA Sum Squares function con operadores normales
Iteracion,Tiempo_ms,Alpha,Solucion,Dimension
1,2.45,0.95,22.33,10
2,2.42,0.90,25.97,10
3,2.56,0.89,42.80,10
4,2.43,0.94,33.27,10
5,2.62,0.98,24.28,10
6,2.49,0.96,18.35,10
7,2.29,0.93,36.05,10
8,2.35,0.90,35.05,10
9,2.48,0.94,26.26,10
10,2.28,0.98,27.25,10
11,2.63,0.93,27.87,10
12,2.45,0.95,34.91,10
13,2.34,0.98,31.46,10
14,2.52,0.97,26.05,10
15,2.35,0.94,38.62,10
16,2.41,0.96,26.03,10
17,2.54,0.99,22.14,10
18,2.27,0.97,30.74,10
19,2.54,0.95,30.84,10
20,2.30,0.93,34.96,10
1,2.36,0.99,29.02,30
2,2.58,0.97,25.58,30
3,2.32,0.89,17.53,30
4,2.28,0.99,25.80,30
5,2.52,0.97,13.13,30
6,2.51,0.94,28.84,30
7,153.65,0.89,23.00,30
8,3.81,0.89,38.63,30
9,4.95,0.97,24.02,30
10,5.51,0.89,30.48,30
11,3.95,0.89,34.05,30
12,2.58,0.94,22.25,30
13,2.48,0.98,23.76,30
14,2.62,0.98,16.39,30
15,4.83,0.92,27.85,30
16,3.35,0.91,23.38,30
17,2.88,0.93,25.36,30
18,2.34,0.91,32.04,30
19,2.70,0.97,26.44,30
20,3.84,0.93,28.53,30
